idpetitie,voturi,idinitiator,nume,destinatar,descriere,categorie, datapostare,
1,0,102,petitie1,1111,preturi mari,1,26-MAY-15
2,0,102,petitie2,1111,preturi mari,1,26-MAY-15
3,0,102,petitie3,1111,preturi mari,1,26-MAY-15
4,0,102,petitie4,1111,preturi mari,1,26-MAY-15
5,0,102,petitie5,1111,preturi mari,1,26-MAY-15
6,0,102,KAV,enduser,Stop KAV,1,26-MAY-15
7,0,102,564365,2,2,1,26-MAY-15
8,0,102,test Pet,ea,stop stop stop stop stop stop stop stop stop stop stop stop stop stop stop stop stop stop stop stop stop stop stop stop stop stop stop stop stop stop stop stop stop stop vstop stop stop stop stop 
stop stop stop 
stop stop stop stop stop ,1,30-MAY-15
9,1,102,asdiuiuhasudh,hj,g,1,01-JUN-15
10,2,102,hahahah,tuturor,   textul este irelevant,6,01-JUN-15
12,1,104,Firmele de recuperari creante in afara legii!,," Cei mai multi dintre romani au probleme cu creditele contractate intr-o perioada de avant economic.
De parca ar fi stiut ce urmeaza sa se intample, in perioada imediat urmatoare firmele de recuperari creante au inceput sa apara precum ciupercile dupa ploaie. Criza economica ne-a afectat pe toti, iar azi multi sunt executati silit, majoritatea in mod abuziv.
Ceea ce multi nu stiu este ca in contractele bancare apar in mod sistematic clauze abuzive, iar nestiinta noastra face ca firmele de recuperare sa aiba profituri uriase pe spatele nostru. Multe dintre ele sunt cercetate penal in acest moment.
Legea este interpretabila, iar faptul ca bancile isi vand fara scrupule clientii unor camatari cu acte ""in regula"", care prospera din dobanzi si comisioane pe care nu le vei putea plati niciodata, pentru ca se adauga mereu altele, a adus multi romani in pragul disperarii.
",1,02-JUN-15
11,0,104,SÄƒ cÃ¢nte muzica pe strÄƒzile Clujului!,SÄƒ cÃ¢nte muzica pe strÄƒzile Clujului!,"VÄƒ scriem pentru a vÄƒ cere renunÈ›area la sancÈ›ionarea cÃ¢ntÄƒreÈ›ilor stradali de cÄƒtre funcÈ›ionarii primÄƒriei È™i iniÈ›ierea procedurilor pentru legiferarea dreptului lor de a cÃ¢nta pe spaÈ›iul public.

Motivul pentru care vÄƒ trimitem aceastÄƒ scrisoare e apariÈ›ia pe reÈ›eaua de socializare Facebook (la adresa: https://www.facebook.com/photo.php?fbid=10205985944061186&set=a.1805750817040.102401.1037987115&type=1) a unei poze publicate duminicÄƒ, 31 mai a.c. È™i localizatÄƒ pe b-dul Eroilor, Ã®n faÈ›a intrÄƒrii principale Ã®n Catedrala Greco-CatolicÄƒ â€žSchimbarea la FaÈ›Äƒâ€ È™i Ã®n apropierea statuii lupei capitoline donate statului romÃ¢n de oraÈ™ul Roma Ã®n 1921, simbol al legÄƒturii culturale a romÃ¢nilor È™i clujenilor cu Europa civilizatÄƒ. Poza prezintÄƒ un cÃ¢ntÄƒreÈ› stradal È›inÃ¢nd un instrument cu coarde Ã®n mÃ¢nÄƒ.",1,02-JUN-15
13,1,104,PRO - permis la varsta de 16 ani !,,PRO - permis la varsta de 16 ani !,1,02-JUN-15
